Země	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál
Číslo	1335	112	629	42069	109	709	1336	630	2025	707
Hráč	Jendas	Lord.F	dabodu	P.e.CZ	Lord.F	VencaV	Jendas	dabodu	P.e.CZ	VencaV
Prestiž K	851	811	706	703	698	692	669	661	599	509
Vojáků K	186	135	42	117	130	224	133	199	82	52
Tanků K	3.2	4.8	13	2.7	6	6.9	2.4	6.3	0.3	2.5
Stíhaček K	0	0.7	9.3	0	1.7	1.2	0	0.1	0.9	2.7
Bunkrů K	10	4.7	0.3	7.4	5	1.1	11	6.3	5.6	1.7
Mechů K	70	47	79	38	44	45	29	44	38	63
Agentů	1138	1500	292	816	1000	830	1423	1062	615	339
Operací	21	25	25	25	25	30	25	24	25	25
Konv rak	19	9	3	9	8	0	12	0	7	0
Bio rak	0	0	0	0	0	3	0	0	0	3
Emp rak	0	0	0	0	0	0	0	0	0	0
Nukl rak	0	0	0	0	0	0	0	0	0	0
Zkuš arm K	118	70	87	88	67	90	60	87	83	133
Hodnost	7	8	9	7	8	8	7	9	7	8
Zkuš věk K	378	472	671	333	516	506	263	605	374	493
Sesvačenost	12%	16%	0%	0%	0%	0%	0%	0%	26%	46%
T hospod K	59	139	40	86	87	21	76	0.9	85	18
T RychSt K	0.1	1	0.2	3.5	1.3	0.7	5.8	0.3	7.2	0.5
T Obchod K	15	29	0.2	24	19	1.3	36	0.1	25	0.4
T HustZa K	16	29	0.2	24	22	1.1	33	0.1	25	0.1
T Zemědě K	0	0	0.1	0	45	0.5	0	0.1	0	0.2
T Továrn K	0	0	39	0	0	17	0	0.4	0	17
T Energe K	29	80	0	34	0	0.5	0	0.1	28	0.1
T vojen K	108	94	98	112	85	74	90	83	98	71
T SílaZb K	40	37	41	35	39	33	32	31	27	29
T DomTrh K	2.4	0	0	11	0	0.5	9	0	12	0.2
T Rakety K	1.9	0	0.4	0	0	3	0.3	0.1	0	3.2
T Protir K	3.7	0	0	14	0	0.2	21	0.1	4.9	1.2
T Rozvěd K	19	42	21	17	23	17	20	17	17	14
T Výzkum K	41	15	36	35	24	21	9.2	35	37	24
Země	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál	Rektál
Obyvatel M	3.74	4.61	3.58	4.29	5.17	3.46	3.29	3.29	5.18	1.98
Peněz M	3.07	0	0	0	0	0.59	3.5	0.4	4.02	0.17
Jídla K	33	49	7.4	0.1	0	0	0	18	0	0
Energie K	0	0	18	0	10	0	133	3.1	0	0
Spokoj	81.8%	102.3%	104.6%	116.4%	162.2%	94.4%	92%	122.1%	94.7%	72.4%
Na trhu	-11	-8	-4	-18	-5	-1	-18	-1	-15	0
+peněz K	29	114	31	196	167	17	117	24	286	17
+jídla	-2629	-1554	-1214	-2879	50552	-1919	-2028	-1907	-2231	-1187
+energie	26412	44900	-2773	8737	-2063	-1717	-2928	3101	9608	-2196
+vojáků	148	0	178	0	0	1848	0	2316	0	931
+dílů jedn	0	0	18255	0	0	4113	0	0	0	8724
+technologií	0	0	88	595	0	46	1018	0	532	42
Rozloha K	8	9.9	10	8.9	10	9.7	6.7	9.4	8.6	8.1
